# Sensibilite seuils degradation H2 -- 10 EMS 25 ans | nominal={'fhigh': 0.8, 'flow': 0.01, 'f30': 0.3, 'f60': 0.6}
# MC: N=15/strat, ranges={'fhigh': (0.7, 0.9), 'flow': (0.005, 0.02), 'f30': (0.25, 0.35), 'f60': (0.5, 0.7)}, seed=4242 (memes quadruplets pour toutes)

## Front de Pareto : nominal + dispersion MC par strategie
strat;LPSP_nom;deg_nom;LPSP_mean;LPSP_std;deg_mean;deg_std;deg_min;deg_max;N_ok
0-100;10.3787;124.224;10.2873;0.0980;123.876;2.637;120.200;128.359;15
25-75;20.2640;110.776;20.3329;0.0716;109.349;4.926;102.163;119.304;15
50-50;8.0738;109.022;8.0971;0.0162;108.286;6.338;99.536;118.516;15
75-25;3.8028;59.671;3.8028;0.0000;60.099;1.925;57.086;64.461;15
100-0;2.4862;66.416;2.4844;0.0018;66.326;0.615;65.542;67.305;15
RB2;2.7126;65.167;2.7101;0.0049;66.826;8.239;56.577;78.377;15
RB2(SoH);2.6493;58.529;2.6202;0.0333;61.534;5.742;54.840;70.842;15
RB1;1.2596;80.161;1.2609;0.0039;80.049;1.394;78.252;82.459;15
SoC1;1.3398;140.685;1.3266;0.0351;140.266;2.001;137.551;143.377;15
SoC06;29.4607;109.266;29.4374;0.0539;108.872;1.965;106.367;112.128;15

## OAT (strategie RB2(SoH)) : un seuil varie, les 3 autres au nominal
# fhigh (vie fc)
seuil;LPSP_%;deg_kEUR;vie_ans
0.7000;2.6527;58.547;12.5
0.7500;2.6510;58.537;12.5
0.8000;2.6493;58.529;12.6
0.8500;2.6502;58.521;12.6
0.9000;2.6492;58.515;12.6

# flow (vie fc)
seuil;LPSP_%;deg_kEUR;vie_ans
0.0050;2.6493;58.528;12.6
0.0075;2.6494;58.529;12.6
0.0100;2.6493;58.529;12.6
0.0150;2.6495;58.530;12.6
0.0200;2.6500;58.532;12.6

# f30 (vie ely)
seuil;LPSP_%;deg_kEUR;vie_ans
0.2500;2.6719;73.895;8.6
0.2750;2.6332;66.735;11.8
0.3000;2.6493;58.529;19.1
0.3250;2.6305;55.514;>hor
0.3500;2.6257;54.850;>hor

# f60 (vie ely)
seuil;LPSP_%;deg_kEUR;vie_ans
0.5000;2.6198;59.271;16.9
0.5500;2.6365;58.836;18.1
0.6000;2.6493;58.529;19.1
0.6500;2.6599;58.275;20.0
0.7000;2.6714;58.051;20.7

